segment,streak_id,year,team,streak_len,start_date,end_date,year_std,team_std,date_std,Rank,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG_,OBP,SLG,OPS,Year_,row_order
streak,24,2022,한화,6,2022-06-29,2022-07-06,2022,한화,2022-07-05,5,0.171,1,36.0,35.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.171,0.171,0.171,0.342,2022,76
streak,24,2022,한화,6,2022-06-29,2022-07-06,2022,한화,2022-07-06,8,0.25,1,40.0,36.0,3.0,9.0,1.0,0.0,3.0,19.0,3.0,2.0,0.0,10.0,3.0,3.0,0.0,0.0,13.0,0.0,1.0,0.0,0.25,0.308,0.528,0.836,2022,77
streak,25,2022,한화,6,2022-07-08,2022-07-14,2022,한화,2022-07-08,10,0.067,1,33.0,30.0,3.0,2.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,11.0,9.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.067,0.152,0.167,0.319,2022,79
streak,25,2022,한화,6,2022-07-08,2022-07-14,2022,한화,2022-07-09,1,0.353,1,39.0,34.0,5.0,12.0,3.0,0.0,1.0,18.0,4.0,0.0,1.0,11.0,7.0,2.0,1.0,0.0,4.0,3.0,2.0,0.0,0.353,0.405,0.529,0.934,2022,80
streak,25,2022,한화,6,2022-07-08,2022-07-14,2022,한화,2022-07-10,3,0.27,1,41.0,37.0,3.0,10.0,0.0,0.0,1.0,13.0,3.0,1.0,0.0,9.0,9.0,4.0,0.0,0.0,9.0,1.0,0.0,0.0,0.27,0.341,0.351,0.692,2022,81
streak,25,2022,한화,6,2022-07-08,2022-07-14,2022,한화,2022-07-12,8,0.241,1,40.0,29.0,2.0,7.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,8.0,4.0,8.0,0.0,1.0,9.0,1.0,3.0,0.0,0.241,0.405,0.241,0.646,2022,82
streak,25,2022,한화,6,2022-07-08,2022-07-14,2022,한화,2022-07-13,4,0.161,1,35.0,31.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,8.0,3.0,1.0,1.0,12.0,1.0,0.0,0.0,0.161,0.257,0.194,0.451,2022,83
streak,25,2022,한화,6,2022-07-08,2022-07-14,2022,한화,2022-07-14,6,0.25,1,38.0,36.0,7.0,9.0,1.0,1.0,2.0,18.0,7.0,0.0,0.0,4.0,10.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.25,0.289,0.5,0.789,2022,84
streak,26,2022,한화,6,2022-08-12,2022-08-19,2022,한화,2022-08-12,8,0.235,1,45.0,34.0,5.0,8.0,2.0,0.0,1.0,13.0,5.0,0.0,0.0,12.0,8.0,8.0,1.0,0.0,7.0,1.0,1.0,1.0,0.235,0.386,0.382,0.768,2022,99
streak,26,2022,한화,6,2022-08-12,2022-08-19,2022,한화,2022-08-13,5,0.265,1,39.0,34.0,6.0,9.0,2.0,0.0,1.0,14.0,5.0,1.0,0.0,10.0,8.0,4.0,1.0,0.0,7.0,0.0,0.0,0.0,0.265,0.359,0.412,0.771,2022,100
streak,26,2022,한화,6,2022-08-12,2022-08-19,2022,한화,2022-08-14,2,0.316,1,43.0,38.0,8.0,12.0,3.0,0.0,1.0,18.0,7.0,0.0,1.0,11.0,6.0,5.0,0.0,0.0,8.0,2.0,0.0,0.0,0.316,0.395,0.474,0.869,2022,101
streak,26,2022,한화,6,2022-08-12,2022-08-19,2022,한화,2022-08-17,7,0.242,1,38.0,33.0,4.0,8.0,1.0,0.0,0.0,9.0,4.0,1.0,0.0,9.0,7.0,4.0,1.0,0.0,5.0,1.0,0.0,0.0,0.242,0.342,0.273,0.615,2022,102
streak,26,2022,한화,6,2022-08-12,2022-08-19,2022,한화,2022-08-18,7,0.265,1,37.0,34.0,4.0,9.0,1.0,0.0,0.0,10.0,3.0,0.0,0.0,12.0,8.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.265,0.324,0.294,0.618,2022,103
streak,26,2022,한화,6,2022-08-12,2022-08-19,2022,한화,2022-08-19,1,0.333,1,44.0,36.0,5.0,12.0,3.0,0.0,0.0,15.0,5.0,0.0,0.0,7.0,10.0,5.0,1.0,0.0,7.0,1.0,1.0,1.0,0.333,0.419,0.417,0.836,2022,104
streak,27,2022,한화,6,2022-09-25,2022-10-02,2022,한화,2022-09-25,3,0.294,1,36.0,34.0,3.0,10.0,2.0,0.0,0.0,12.0,3.0,1.0,1.0,6.0,7.0,1.0,0.0,0.0,12.0,1.0,0.0,1.0,0.294,0.306,0.353,0.659,2022,135
streak,27,2022,한화,6,2022-09-25,2022-10-02,2022,한화,2022-09-27,5,0.194,1,39.0,31.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,7.0,5.0,1.0,0.0,9.0,0.0,2.0,0.0,0.194,0.324,0.194,0.518,2022,136
